cik|ticker|date_filed|url|net_tone
1029125|SNBP|2019-03-22|https://www.sec.gov/Archives/edgar/data/1029125/000143774919005464/ex_138329.htm|nan
1029730|LTS|2019-03-15|https://www.sec.gov/Archives/edgar/data/1029730/000102973019000006/ladenburg4qearningsrelease.htm|nan
1029744|SOFO|2019-03-15|https://www.sec.gov/Archives/edgar/data/1029744/000102974419000040/sofo93018earningsrelease.htm|nan
1029744|SOFO|2019-03-21|https://www.sec.gov/Archives/edgar/data/1029744/000102974419000044/sofo12-31x18prexrelease.htm|nan
1029800|UBA|2019-03-08|https://www.sec.gov/Archives/edgar/data/1029800/000102980019000019/exhibit99_1.htm|nan
1029800|UBA|2019-03-08|https://www.sec.gov/Archives/edgar/data/1029800/000102980019000020/exhibit99_1.htm|nan
1030469|OFG|2019-01-22|https://www.sec.gov/Archives/edgar/data/1030469/000103046919000002/ofg8K20181231ex99.htm|nan
1031029|SRT|2019-03-13|https://www.sec.gov/Archives/edgar/data/1031029/000103102919000008/srt_ex99-1123118.htm|nan
1031203|GPI|2019-02-05|https://www.sec.gov/Archives/edgar/data/1031203/000103120319000003/a2018q4exhibit991.htm|nan
1031296|FE|2019-02-19|https://www.sec.gov/Archives/edgar/data/1031296/000103129619000007/exhibit991earningsrelease.htm|nan
1031316|FSP|2019-02-12|https://www.sec.gov/Archives/edgar/data/1031316/000155837019000595/ex-99d1.htm|nan
103145|VECO|2019-02-11|https://www.sec.gov/Archives/edgar/data/103145/000155837019000551/ex-99d1.htm|nan
1031623|GIFI|2019-02-28|https://www.sec.gov/Archives/edgar/data/1031623/000103162319000004/pressreleaseq42018.htm|nan
1032033|SLM|2019-01-23|https://www.sec.gov/Archives/edgar/data/1032033/000162828019000493/slm12312018x991.htm|nan
1032208|SRE|2019-02-26|https://www.sec.gov/Archives/edgar/data/1032208/000008652119000007/ex99_1x20181231x10-k.htm|nan
10329|BSET|2019-01-17|https://www.sec.gov/Archives/edgar/data/10329/000143774919000943/ex_133030.htm|nan
1033012|FBC|2019-01-22|https://www.sec.gov/Archives/edgar/data/1033012/000103301219000022/pressrelease4q2018.htm|nan
103379|VFC|2019-01-18|https://www.sec.gov/Archives/edgar/data/103379/000115752319000094/a51927563ex99.htm|nan
1033905|LMNX|2019-02-04|https://www.sec.gov/Archives/edgar/data/1033905/000103390519000006/a2018-q4form8xkex991.htm|nan
1034054|SBAC|2019-02-21|https://www.sec.gov/Archives/edgar/data/1034054/000119312519047020/d712252dex991.htm|nan
1034594|BAYK|2019-02-06|https://www.sec.gov/Archives/edgar/data/1034594/000156459019002151/bayk-ex991_6.htm|nan
1034670|ALV|2019-01-29|https://www.sec.gov/Archives/edgar/data/1034670/000156459019001263/alv-ex991_6.htm|nan
1034842|RIGL|2019-02-28|https://www.sec.gov/Archives/edgar/data/1034842/000110465919011582/a19-5474_1ex99d1.htm|nan
1035002|VLO|2019-01-31|https://www.sec.gov/Archives/edgar/data/1035002/000103500219000002/vloq42018earningsrelease.htm|nan
1035092|SHBI|2019-01-31|https://www.sec.gov/Archives/edgar/data/1035092/000114420419004079/tv512025_ex99-1.htm|nan
1035201|CWT|2019-02-28|https://www.sec.gov/Archives/edgar/data/1035201/000110465919011379/a19-5607_1ex99d1.htm|nan
1035267|ISRG|2019-01-24|https://www.sec.gov/Archives/edgar/data/1035267/000103526719000005/a20181231ex-991.htm|nan
1035354|ELOX|2019-03-08|https://www.sec.gov/Archives/edgar/data/1035354/000114420419012848/tv515788_ex99-1.htm|nan
1035443|ARE|2019-02-04|https://www.sec.gov/Archives/edgar/data/1035443/000103544319000036/a4q18ex991supp.htm|nan
1035976|FNCB|2019-01-25|https://www.sec.gov/Archives/edgar/data/1035976/000143774919001344/ex_133424.htm|nan
1035983|FIX|2019-02-21|https://www.sec.gov/Archives/edgar/data/1035983/000155837019000856/ex-99d1.htm|nan
1036044|INVE|2019-03-07|https://www.sec.gov/Archives/edgar/data/1036044/000119312519067327/d717247dex991.htm|nan
1036188|QADA|2019-03-20|https://www.sec.gov/Archives/edgar/data/1036188/000143774919005355/ex_138312.htm|nan
1037038|RL|2019-02-05|https://www.sec.gov/Archives/edgar/data/1037038/000095014219000160/eh1900191_ex9901.htm|nan
103730|VSH|2019-02-05|https://www.sec.gov/Archives/edgar/data/103730/000010373019000003/exhibit99-1.htm|nan
1037390|GRIF|2019-02-12|https://www.sec.gov/Archives/edgar/data/1037390/000103739019000004/grif-20190212ex991614059.htm|nan
1037646|MTD|2019-02-07|https://www.sec.gov/Archives/edgar/data/1037646/000103764619000002/mtd8-kq42018.htm|nan
1037676|ARCH|2019-02-14|https://www.sec.gov/Archives/edgar/data/1037676/000110465919008333/a19-4652_1ex99d1.htm|nan
1037868|AME|2019-02-05|https://www.sec.gov/Archives/edgar/data/1037868/000119312519028024/d696417dex991.htm|nan
1037976|JLL|2019-02-12|https://www.sec.gov/Archives/edgar/data/1037976/000103797619000004/exhibit991fourthquarter201.htm|nan
1038074|SLAB|2019-01-30|https://www.sec.gov/Archives/edgar/data/1038074/000110465919004297/a19-3605_1ex99.htm|nan
1038133|HSKA|2019-02-26|https://www.sec.gov/Archives/edgar/data/1038133/000103813319000011/ex99-1earningsreleaseq42018.htm|nan
1038357|PXD|2019-02-13|https://www.sec.gov/Archives/edgar/data/1038357/000103835719000006/pxdq42018earningsreleaseex.htm|nan
103872|VOLT|2019-01-09|https://www.sec.gov/Archives/edgar/data/103872/000094787119000021/ss121031_ex9901.htm|nan
103872|VOLT|2019-03-06|https://www.sec.gov/Archives/edgar/data/103872/000094787119000182/ss128103_ex9901.htm|nan
1039065|OSIS|2019-01-24|https://www.sec.gov/Archives/edgar/data/1039065/000115752319000140/a51930559_ex991.htm|nan
1039280|NTWK|2019-02-13|https://www.sec.gov/Archives/edgar/data/1039280/000149315219001837/ex99-1.htm|nan
1039399|FORM|2019-02-06|https://www.sec.gov/Archives/edgar/data/1039399/000103939919000005/q418exhibit9901.htm|nan
1039684|OKE|2019-02-25|https://www.sec.gov/Archives/edgar/data/1039684/000103968419000014/q42018earningsreleasenr.htm|nan
1039828|AEL|2019-02-06|https://www.sec.gov/Archives/edgar/data/1039828/000103982819000002/a2018-12x31_ael8kexhibit991.htm|nan
1040161|PXLW|2019-02-07|https://www.sec.gov/Archives/edgar/data/1040161/000104016119000004/pxlw_q4x18xearningsrelease.htm|nan
1040470|AEHR|2019-01-10|https://www.sec.gov/Archives/edgar/data/1040470/000165495419000309/aehr_ex991.htm|nan
1040829|RHP|2019-02-26|https://www.sec.gov/Archives/edgar/data/1040829/000119312519050876/d712372dex991.htm|nan
1041024|RMTI|2019-03-14|https://www.sec.gov/Archives/edgar/data/1041024/000110465919014704/a19-6572_1ex99d1.htm|nan
1041061|YUM|2019-02-07|https://www.sec.gov/Archives/edgar/data/1041061/000104106119000006/a8kex991272019.htm|nan
1041514|UEPS|2019-02-07|https://www.sec.gov/Archives/edgar/data/1041514/000106299319000538/exhibit99-1.htm|nan
104169|WMT|2019-02-19|https://www.sec.gov/Archives/edgar/data/104169/000010416919000011/earningsrelease-1312019.htm|nan
1041803|PSMT|2019-01-09|https://www.sec.gov/Archives/edgar/data/1041803/000104180319000007/psmt-20190109xex99_1.htm|nan
1041859|PLCE|2019-03-04|https://www.sec.gov/Archives/edgar/data/1041859/000114420419011802/tv515323_ex99-1.htm|nan
1042729|MBWM|2019-01-22|https://www.sec.gov/Archives/edgar/data/1042729/000143774919001084/ex_133070.htm|nan
1042776|PDM|2019-02-05|https://www.sec.gov/Archives/edgar/data/1042776/000104277619000013/pdm123118ex991q42018earnin.htm|nan
1042893|DRQ|2019-02-26|https://www.sec.gov/Archives/edgar/data/1042893/000119312519052074/d668418dex991.htm|nan
1043000|CSU|2019-02-28|https://www.sec.gov/Archives/edgar/data/1043000/000119312519055537/d714158dex991.htm|nan
1043219|NLY|2019-02-13|https://www.sec.gov/Archives/edgar/data/1043219/000162828019001314/a2018q4nlyex991.htm|nan
1043277|CHRW|2019-01-29|https://www.sec.gov/Archives/edgar/data/1043277/000104327719000003/ex991earningsreleaseq42018.htm|nan
1043337|SRI|2019-02-27|https://www.sec.gov/Archives/edgar/data/1043337/000114420419010614/tv514918_ex99-1.htm|nan
1043509|SAH|2019-02-20|https://www.sec.gov/Archives/edgar/data/1043509/000162828019001572/q420188-kxexhibit991.htm|nan
1043604|JNPR|2019-01-29|https://www.sec.gov/Archives/edgar/data/1043604/000119312519020883/d624587dex991.htm|nan
1044777|OSPN|2019-02-19|https://www.sec.gov/Archives/edgar/data/1044777/000155837019000736/ex-99d1.htm|nan
1045309|GRA|2019-02-07|https://www.sec.gov/Archives/edgar/data/1045309/000104530919000002/a4q18earningsrelease.htm|nan
1045450|EPR|2019-02-25|https://www.sec.gov/Archives/edgar/data/1045450/000104545019000023/ex991-eprx12312018earnings.htm|nan
10456|BAX|2019-01-31|https://www.sec.gov/Archives/edgar/data/10456/000119312519023181/d699628dex991.htm|nan
1045609|PLD|2019-01-22|https://www.sec.gov/Archives/edgar/data/1045609/000156459019000828/pld-ex991_7.htm|nan
1045742|LIVE|2019-02-13|https://www.sec.gov/Archives/edgar/data/1045742/000168316819000362/live_8k-ex9901.htm|nan
1045810|NVDA|2019-02-14|https://www.sec.gov/Archives/edgar/data/1045810/000104581019000007/q4fy19pr.htm|nan
1045942|TRCK|2019-02-14|https://www.sec.gov/Archives/edgar/data/1045942/000165495419001545/ex99-1.htm|nan
1046025|HFWA|2019-01-24|https://www.sec.gov/Archives/edgar/data/1046025/000104602519000003/a8-kexhibit991123118.htm|nan
1046102|RBA|2019-02-28|https://www.sec.gov/Archives/edgar/data/1046102/000127956919000455/tv514715_ex99-1.htm|nan
1046203|GFED|2019-01-23|https://www.sec.gov/Archives/edgar/data/1046203/000143774919001204/ex_133287.htm|nan
1046257|INGR|2019-02-05|https://www.sec.gov/Archives/edgar/data/1046257/000110465919005692/a19-4007_1ex99.htm|nan
1046311|CHH|2019-02-15|https://www.sec.gov/Archives/edgar/data/1046311/000104631119000005/exhibit991-123118.htm|nan
1046327|RNWK|2019-02-06|https://www.sec.gov/Archives/edgar/data/1046327/000104632719000006/exhibit991erq4-18.htm|nan
1046568|PRDO|2019-02-20|https://www.sec.gov/Archives/edgar/data/1046568/000156459019003453/ceco-ex991_6.htm|nan
1047122|RTN|2019-01-31|https://www.sec.gov/Archives/edgar/data/1047122/000104712219000004/rtn-01312019xexhibit991x8k.htm|nan
1047127|AMKR|2019-02-11|https://www.sec.gov/Archives/edgar/data/1047127/000104712719000004/amkr123118earningsreleasee.htm|nan
1047340|FDP|2019-02-19|https://www.sec.gov/Archives/edgar/data/1047340/000104734019000020/pressrelease02-19x2019.htm|nan
1047862|ED|2019-02-21|https://www.sec.gov/Archives/edgar/data/1047862/000104786219000036/ed-20181231xexx991.htm|nan
1047884|ANH|2019-02-14|https://www.sec.gov/Archives/edgar/data/1047884/000115752319000350/a51940929ex99_1.htm|nan
1048268|IESC|2019-02-05|https://www.sec.gov/Archives/edgar/data/1048268/000119312519028338/d680218dex991.htm|nan
1048286|MAR|2019-02-28|https://www.sec.gov/Archives/edgar/data/1048286/000162828019002290/mar-2018q4earningsreleasee.htm|nan
1048477|BMRN|2019-02-21|https://www.sec.gov/Archives/edgar/data/1048477/000156459019003686/bmrn-ex991_6.htm|nan
1048695|FFIV|2019-01-23|https://www.sec.gov/Archives/edgar/data/1048695/000104869519000005/q119earningsreleasefinanci.htm|nan
104889|GHC|2019-02-25|https://www.sec.gov/Archives/edgar/data/104889/000010488919000012/dex991.htm|nan
1048911|FDX|2019-03-19|https://www.sec.gov/Archives/edgar/data/1048911/000119312519079639/d677066dex991.htm|nan
104894|WRE|2019-02-14|https://www.sec.gov/Archives/edgar/data/104894/000010489419000017/q42018earningsrelease.htm|nan
104918|AVA|2019-02-08|https://www.sec.gov/Archives/edgar/data/104918/000010491819000037/ex991yearend2018earningsre.htm|nan
1049502|MKSI|2019-01-29|https://www.sec.gov/Archives/edgar/data/1049502/000156459019001304/mksi-ex991_6.htm|nan
1049521|MRCY|2019-01-29|https://www.sec.gov/Archives/edgar/data/1049521/000104952119000004/q22019earningsreleaseexhib.htm|nan
1049606|CIX|2019-02-27|https://www.sec.gov/Archives/edgar/data/1049606/000002424019000006/exh991.htm|nan
