cik|ticker|date_filed|URL
1653247|WTRH|2019-03-07|https://www.sec.gov/Archives/edgar/data/1653247/000156459019006768/wtrh-ex991_7.htm
1653477|NGVT|2019-02-13|https://www.sec.gov/Archives/edgar/data/1653477/000165347719000003/ex99112312018.htm
1653653|RRR|2019-02-12|https://www.sec.gov/Archives/edgar/data/1653653/000119312519035917/d704854dex991.htm
1654151|DCPH|2019-03-14|https://www.sec.gov/Archives/edgar/data/1654151/000119312519074785/d720514dex991.htm
1655020|XOGAQ|2019-02-21|https://www.sec.gov/Archives/edgar/data/1655020/000165502019000025/exhibit99112312018pr.htm
1655050|BCSF|2019-02-28|https://www.sec.gov/Archives/edgar/data/1655050/000110465919011553/a19-5569_1ex99d1.htm
1655075|AFI|2019-03-05|https://www.sec.gov/Archives/edgar/data/1655075/000119312519063263/d717788dex991.htm
1656936|MGP|2019-02-14|https://www.sec.gov/Archives/edgar/data/1656936/000162828019001358/mgp12312018ex-991.htm
1657788|KRP|2019-03-07|https://www.sec.gov/Archives/edgar/data/1657788/000110465919013256/a19-5868_3ex99d1.htm
1658247|CRNX|2019-03-13|https://www.sec.gov/Archives/edgar/data/1658247/000156459019007555/crnx-ex991_6.htm
1658566|CDEV|2019-02-25|https://www.sec.gov/Archives/edgar/data/1658566/000165856619000026/ex991cdevpressrelease12312.htm
1659166|FTV|2019-02-07|https://www.sec.gov/Archives/edgar/data/1659166/000165916619000027/a20181231-ex991.htm
1659323|ITRM|2019-03-25|https://www.sec.gov/Archives/edgar/data/1659323/000119312519084288/d727340dex991.htm
1659617|MBRX|2019-02-21|https://www.sec.gov/Archives/edgar/data/1659617/000165961719000019/exh991-financials123118q42.htm
1660134|OKTA|2019-03-07|https://www.sec.gov/Archives/edgar/data/1660134/000162828019002611/okta-1312019_ex991.htm
1660280|TENB|2019-02-05|https://www.sec.gov/Archives/edgar/data/1660280/000166028019000003/q42018financialresults-ear.htm
1660334|VRCA|2019-03-07|https://www.sec.gov/Archives/edgar/data/1660334/000119312519067221/d720153dex991.htm
1660734|TRTN|2019-02-14|https://www.sec.gov/Archives/edgar/data/1660734/000166073419000003/exhibit99112-31x2018single.htm
1661053|HJLI|2019-03-13|https://www.sec.gov/Archives/edgar/data/1661053/000149315219003239/ex99-1.htm
1661181|ORGO|2019-03-18|https://www.sec.gov/Archives/edgar/data/1661181/000119312519078270/d725624dex991.htm
1661920|LONE|2019-03-07|https://www.sec.gov/Archives/edgar/data/1661920/000166192019000013/q42018resultspressrelease.htm
1662524|AKCA|2019-02-26|https://www.sec.gov/Archives/edgar/data/1662524/000119312519051972/d686567dex991.htm
1665918|USFD|2019-02-12|https://www.sec.gov/Archives/edgar/data/1665918/000166591819000005/usfd122918ex991.htm
1666071|CDLX|2019-03-05|https://www.sec.gov/Archives/edgar/data/1666071/000166607119000015/cdlx_form8-kx2018q4xex991.htm
1666134|BL|2019-02-14|https://www.sec.gov/Archives/edgar/data/1666134/000117184319000931/exh_991.htm
1666138|ATKR|2019-02-06|https://www.sec.gov/Archives/edgar/data/1666138/000166613819000012/atkr1q19exhibit991.htm
1666700|DD|2019-01-31|https://www.sec.gov/Archives/edgar/data/1666700/000166670019000004/exhibit991enrschedules4q18.htm
1667313|ZDGE|2019-03-13|https://www.sec.gov/Archives/edgar/data/1667313/000121390019004043/f8k031319ex99-1_zedgeinc.htm
1667633|FTSV|2019-03-28|https://www.sec.gov/Archives/edgar/data/1667633/000156459019009845/ftsv-ex991_7.htm
1668105|TLND|2019-02-14|https://www.sec.gov/Archives/edgar/data/1668105/000117184319000932/exh_991.htm
1668243|URGN|2019-02-28|https://www.sec.gov/Archives/edgar/data/1668243/000119312519055714/d714078dex991.htm
1668397|MEDP|2019-02-25|https://www.sec.gov/Archives/edgar/data/1668397/000156459019004090/medp-ex991_6.htm
1668428|FG|2019-02-27|https://www.sec.gov/Archives/edgar/data/1668428/000166842819000028/fglholdings12312018earning.htm
1668673|PETQ|2019-03-11|https://www.sec.gov/Archives/edgar/data/1668673/000155837019001769/ex-99d1.htm
1669162|KNSL|2019-02-21|https://www.sec.gov/Archives/edgar/data/1669162/000166916219000003/earningsrelease4q2018.htm
1669779|CWH|2019-03-07|https://www.sec.gov/Archives/edgar/data/1669779/000115752319000550/a51951695ex99_1.htm
1669811|DFIN|2019-02-27|https://www.sec.gov/Archives/edgar/data/1669811/000156459019004651/dfin-ex991_6.htm
1669812|LKSDQ|2019-02-19|https://www.sec.gov/Archives/edgar/data/1669812/000119312519044322/d704817dex991.htm
1670349|USWS|2019-03-14|https://www.sec.gov/Archives/edgar/data/1670349/000117184319001705/exh_991.htm
1670541|ADNT|2019-02-07|https://www.sec.gov/Archives/edgar/data/1670541/000119312519030171/d674163dex991.htm
1670592|YETI|2019-02-14|https://www.sec.gov/Archives/edgar/data/1670592/000155837019000650/ex-99d1.htm
1671013|CATM|2019-02-21|https://www.sec.gov/Archives/edgar/data/1671013/000110465919009826/a19-5188_1ex99d1.htm
1671584|APVO|2019-03-18|https://www.sec.gov/Archives/edgar/data/1671584/000156459019008190/apvo-ex991_40.htm
1671933|TTD|2019-02-21|https://www.sec.gov/Archives/edgar/data/1671933/000115752319000414/a51943983_ex991.htm
1672013|GOLF|2019-02-28|https://www.sec.gov/Archives/edgar/data/1672013/000167201319000004/ex991q42018document.htm
16732|CPB|2019-02-27|https://www.sec.gov/Archives/edgar/data/16732/000001673219000021/exhibit991-q22019.htm
1673358|YUMC|2019-01-31|https://www.sec.gov/Archives/edgar/data/1673358/000156459019001535/yumc-ex991_6.htm
1673985|ASIX|2019-02-22|https://www.sec.gov/Archives/edgar/data/1673985/000167398519000007/exhibit991q4andye18ear.htm
1674335|JELD|2019-02-19|https://www.sec.gov/Archives/edgar/data/1674335/000167433519000002/q42018jeld-wenex991.htm
1674365|APTX|2019-03-21|https://www.sec.gov/Archives/edgar/data/1674365/000110465919016425/a19-6956_1ex99d1.htm
1674416|CRSP|2019-02-25|https://www.sec.gov/Archives/edgar/data/1674416/000156459019003988/crsp-ex991_6.htm
1674862|ASH|2019-02-05|https://www.sec.gov/Archives/edgar/data/1674862/000156459019002021/ash-ex991_6.htm
1674910|VVV|2019-02-06|https://www.sec.gov/Archives/edgar/data/1674910/000167491019000035/q1-2019earningsrelease.htm
1674930|FLGT|2019-02-28|https://www.sec.gov/Archives/edgar/data/1674930/000156459019005458/flgt-ex991_6.htm
1675033|GECC|2019-03-13|https://www.sec.gov/Archives/edgar/data/1675033/000156459019007454/gecc-ex991_6.htm
1675149|AA|2019-01-16|https://www.sec.gov/Archives/edgar/data/1675149/000115752319000079/a51926724ex99_1.htm
1675820|TIVO|2019-02-26|https://www.sec.gov/Archives/edgar/data/1675820/000167582019000005/exhibit991-123118earningsr.htm
1676479|CSTR|2019-01-24|https://www.sec.gov/Archives/edgar/data/1676479/000156459019001066/cstr-ex991_6.htm
1677703|CNDT|2019-02-20|https://www.sec.gov/Archives/edgar/data/1677703/000167770319000003/cndtq42018ex991-pressrelea.htm
1678463|FRTA|2019-03-11|https://www.sec.gov/Archives/edgar/data/1678463/000167846319000014/frta2018q4ex991.htm
1679049|INSW|2019-03-12|https://www.sec.gov/Archives/edgar/data/1679049/000114420419013389/tv515979_ex99-1.htm
1679082|MYOV|2019-02-07|https://www.sec.gov/Archives/edgar/data/1679082/000167908219000008/a123118myovantex991.htm
1679268|TUSK|2019-03-14|https://www.sec.gov/Archives/edgar/data/1679268/000167926819000005/a2018-12x31exx991.htm
1679273|LW|2019-01-04|https://www.sec.gov/Archives/edgar/data/1679273/000155837019000026/ex-99d1.htm
1679688|CLNY|2019-03-01|https://www.sec.gov/Archives/edgar/data/1679688/000167968819000011/exhibit9912018q4pressrelea.htm
1680048|MBIO|2019-03-18|https://www.sec.gov/Archives/edgar/data/1680048/000114420419014633/tv516248_ex99-1.htm
1680247|PUMP|2019-02-26|https://www.sec.gov/Archives/edgar/data/1680247/000168024719000015/pressreleasefebruary262019.htm
1680378|SNES|2019-03-28|https://www.sec.gov/Archives/edgar/data/1680378/000161577419004770/s116983_ex99-1.htm
1681087|AVRO|2019-03-25|https://www.sec.gov/Archives/edgar/data/1681087/000119312519084287/d722259dex991.htm
1681206|NODK|2019-03-13|https://www.sec.gov/Archives/edgar/data/1681206/000117494719000369/ex99-1.htm
1681459|FTI|2019-02-20|https://www.sec.gov/Archives/edgar/data/1681459/000168145919000007/technipfmc20181231-8kerexh.htm
1681622|VREX|2019-02-05|https://www.sec.gov/Archives/edgar/data/1681622/000168162219000004/exhibit991-8k2519.htm
1681682|NDRA|2019-03-11|https://www.sec.gov/Archives/edgar/data/1681682/000165495419002547/ndra_8k.htm
1682639|EYEN|2019-03-27|https://www.sec.gov/Archives/edgar/data/1682639/000114420419016081/tv516946_ex99-1.htm
1682745|VRRM|2019-03-18|https://www.sec.gov/Archives/edgar/data/1682745/000156459019008326/vrrm-ex991_6.htm
1682852|MRNA|2019-03-06|https://www.sec.gov/Archives/edgar/data/1682852/000168285219000004/exhibit991pressrelease0306.htm
1683606|CARS|2019-02-28|https://www.sec.gov/Archives/edgar/data/1683606/000156459019005181/cars-ex991_6.htm
1683695|IMXI|2019-03-12|https://www.sec.gov/Archives/edgar/data/1683695/000114036119004794/ex99_1.htm
1684144|ZOM|2019-02-26|https://www.sec.gov/Archives/edgar/data/1684144/000117184319001231/exh_991.htm
1685040|BHF|2019-02-11|https://www.sec.gov/Archives/edgar/data/1685040/000168504019000003/bhfearningspressrelease-q4.htm
1687187|METC|2019-03-19|https://www.sec.gov/Archives/edgar/data/1687187/000143774919005275/ex_138196.htm
1687221|REVG|2019-03-06|https://www.sec.gov/Archives/edgar/data/1687221/000119312519065629/d663810dex991.htm
1687229|INVH|2019-02-14|https://www.sec.gov/Archives/edgar/data/1687229/000168722919000010/a4q2018supplemental.htm
16875|CP|2019-01-23|https://www.sec.gov/Archives/edgar/data/16875/000001687519000006/ex991q42018earningsrelease.htm
1687932|JILL|2019-03-06|https://www.sec.gov/Archives/edgar/data/1687932/000095014219000480/eh1900359_9901.htm
1688476|NEX|2019-02-25|https://www.sec.gov/Archives/edgar/data/1688476/000168847619000002/exhibit991earningsreleaseq4.htm
1688568|DXC|2019-02-07|https://www.sec.gov/Archives/edgar/data/1688568/000168856819000006/earningsrelease.htm
1688757|ESTA|2019-03-20|https://www.sec.gov/Archives/edgar/data/1688757/000168875719000010/esta4q18pressrelease-ex991.htm
1688852|SAFE|2019-02-14|https://www.sec.gov/Archives/edgar/data/1688852/000168885219000004/safereportsq418results.htm
1688941|FBM|2019-02-25|https://www.sec.gov/Archives/edgar/data/1688941/000162828019001861/a123118-fbmpressrelease.htm
1689796|JBGS|2019-02-26|https://www.sec.gov/Archives/edgar/data/1689796/000168979619000005/jbgs-123118exhibit991.htm
1689813|BHVN|2019-02-28|https://www.sec.gov/Archives/edgar/data/1689813/000168981319000010/a2018q4bhvnearningspre.htm
